H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
118,58,52,27,98,100,0,100,95,350,97,76,198,17,23
38,92,98,24,100,100,9,90,96,356,84,93,182,38,51
164,41,77,52,33,90,14,78,92,360,65,81,285,10,34  
185,100,69,18,28,42,355,60,80,14,81,92,46,81,93
46,75,93,10,66,85,350,65,75,336,40,33,185,19,48
183,47,64,43,36,86,28,92,98,1,90,97,340,67,63
0,13,30,0,75,77,23,100,100,45,100,90,23,73,86
57,72,95,201,55,19,353,97,99,37,90,98,26,61,61
311,76,29,339,80,74,32,98,91,49,100,97,67,82,61
283,48,17,350,89,95,60,54,92,134,51,89,179,44,70
150,38,80,42,21,60,3,98,100,33,87,98,43,100,100
220,56,37,207,57,89,206,57,98,207,57,79,11,86,95
40,71,94,28,100,24,172,26,72,42,78,95,10,100,98
263,80,49,213,78,65,171,78,65,82,67,70,52,57,87
